打率.195,試合23,打席85,打数82,得点3,安打16,内安0,内安率0.0,２Ｂ4,３Ｂ0,本塁2,HR勝敗0-1-1,塁打26,打点9,三振32
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
2,0,1,0,0,0,0,-,0,0,2,.350,.224,.317,.541
