NOI329.2,GPA.180,RC4.63,RC271.84,XR4.84,XR271.92,RCAA-3.74,XR+-3.62,RCWIN-0.43,XRWIN-0.42,BABIP.292
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.06,0.028,42.50,2.66,0.122,41.00,0.146,0.426,0.00,42.4%,
