左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
44.0% (22),44.0% (22),44.0% (22),28.0% (14),28.0% (14),28.0% (14),28.0% (14),28.0% (14),28.0% (14)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
35.7% (5),100.0% (2),44.1% (15),42.9% (6),0.0% (0),23.5% (8),21.4% (3),0.0% (0),32.4% (11)
