種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,0.0,1,0,1,0,0,0,0,0,0,0,0,2.0,1,0,3,0,0,0,0,0.5,0.167,-,99.0
Nighter,3.68,7,0,7,0,0,1,0,1,0,0,0,7.1,10,1,2,2,1,3,3,1.64,0.323,-,2.44
