球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,85,64.4%,151.3,3,11,21,24,41.2%,6.0%,.357,28,10,1,3,1,0
スライダー,33,25.0%,133.2,6,4,3,17,39.4%,50.0%,.000,5,0,0,2,0,1
フォーク,12,9.1%,140.1,0,1,0,7,8.3%,0.0%,.250,4,1,0,0,1,0
スラーブ,2,1.5%,125.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
