アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,18,41.9%,安打,10,76.9%
フライ,15,34.9%,四死球,2,15.4%
空三振,6,14.0%,失策出塁,1,7.7%
見三振,4,9.3%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
