左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
39.5% (17),39.5% (17),39.5% (17),27.9% (12),27.9% (12),27.9% (12),32.6% (14),32.6% (14),32.6% (14)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
30.0% (3),- (0),42.4% (14),40.0% (4),- (0),24.2% (8),30.0% (3),- (0),33.3% (11)
