条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,0,1,0,1,0,2,0,0,0,0,0,4
敗戦,1,1,3,4,5,0,0,0,0,0,0,0,14
勝敗無,0,2,0,0,1,1,0,0,0,0,0,0,4
