球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,398,40.0%,147.8,9,70,99,121,44.7%,4.3%,0.288,104,30,0,9,5,1
カットボール,158,15.9%,142.3,17,22,41,50,50.6%,19.8%,0.303,33,10,1,5,1,1
チェンジアップ,147,14.8%,133.7,26,11,20,59,38.8%,33.8%,0.222,45,10,0,15,5,1
カーブ,131,13.2%,119.4,14,35,7,62,42.7%,41.2%,0.357,14,5,0,1,0,0
ツーシーム,128,12.9%,140.4,12,14,22,47,37.5%,17.9%,0.294,34,10,0,1,4,1
シュート,23,2.3%,146.1,1,2,4,9,30.4%,8.3%,0.143,7,1,0,0,0,0
スライダー,11,1.1%,132.3,0,5,0,5,45.5%,0.0%,1.0,1,1,0,0,0,0
