HQS率16.7%,SQS率16.7%,被打率.282,被BABIP.319,被出塁率.341,被長打率.357,K/BB1.72,K/94.55,BB/92.64,HR/90.15,GO/AO0.85,援護率3.60,IPR3.28,NHB%6.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.87,73.1%,-2.21,-0.26,-4.29,204,21.1,25,10,39.1,12,1,9,
