連続項目,フラグ (現状値 / 最高値)
得点,2試合 / 4試合
安打,5試合 / 9試合
無安打,0試合 / 2試合
打点,2試合 / 3試合
本塁打,2試合 / 2試合
出塁,5試合 / 10試合
