NOI494.9,GPA.268,RC77.82,RC275.43,XR77.36,XR275.40,RCAA21.70,XR+20.58,RCWIN2.51,XRWIN2.38,BABIP.289
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.58,0.069,12.67,7.31,0.171,24.24,0.261,0.746,3.65,25.3%,
