球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,850,39.9%,147.2,48,157,179,303,45.2%,12.3%,.321,187,60,10,25,18,2
スライダー,288,13.5%,130.3,18,60,37,109,39.9%,15.1%,.236,72,17,5,8,6,1
カットボール,250,11.7%,137.3,20,41,41,96,40.8%,17.7%,.203,59,12,1,8,4,4
フォーク,195,9.2%,135.6,32,14,30,78,39.0%,31.1%,.218,55,12,1,15,4,2
チェンジアップ,164,7.7%,127.9,11,21,30,67,37.8%,14.5%,.150,40,6,2,6,2,0
ツーシーム,132,6.2%,143.9,5,28,14,46,35.6%,8.6%,.359,39,14,1,1,1,1
カーブ,87,4.1%,117.9,3,18,9,44,34.5%,12.0%,.313,16,5,1,3,1,0
スプリット,61,2.9%,137.4,12,3,10,22,41.0%,33.3%,.286,21,6,0,7,0,0
ナックルカーブ,30,1.4%,123.6,0,9,2,14,36.7%,0.0%,.600,5,3,0,0,0,0
シュート,28,1.3%,143.9,0,5,6,14,39.3%,0.0%,.250,4,1,0,1,2,1
シンカー,20,0.9%,135.8,2,1,4,8,35.0%,18.2%,.800,5,4,0,0,0,0
パワーカーブ,12,0.6%,122.3,0,6,0,4,50.0%,0.0%,.500,2,1,0,0,1,0
縦スライダー,10,0.5%,133.2,3,1,4,2,80.0%,42.9%,.000,4,0,0,4,0,0
スローカーブ,3,0.1%,92.0,0,1,0,2,33.3%,-%,-,0,0,0,0,0,0
パーム,1,0.0%,112.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
