打率.277,試合137,打席570,打数509,得点51,安打141,内安5,内安率3.5,２Ｂ24,３Ｂ0,本塁21,HR勝敗9-12-0,塁打228,打点63,三振78
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
45,6,11,0,5,2,1,66.7,6,0,13,.308,.346,.448,.794
