左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
46.4% (198),46.4% (198),46.4% (198),27.4% (117),27.4% (117),27.4% (117),26.2% (112),26.2% (112),26.2% (112)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
45.0% (54),57.1% (12),46.2% (132),34.2% (41),19.0% (4),25.2% (72),20.8% (25),23.8% (5),28.7% (82)
