条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.302,414,368,111,17,0,15,54,33,8,0,5
対左投手,0.213,156,141,30,7,0,6,24,12,3,0,0
