球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,72,46.8%,147.1,4,15,17,21,50.0%,11.1%,.222,18,4,1,4,0,0
スライダー,37,24.0%,130.3,5,10,2,11,45.9%,31.3%,.167,12,2,0,4,0,0
ツーシーム,10,6.5%,145.9,0,1,2,2,30.0%,0.0%,.000,3,0,0,0,0,0
カットボール,10,6.5%,134.5,0,2,5,2,70.0%,0.0%,-,0,0,0,0,0,0
フォーク,7,4.5%,137.8,1,0,2,3,42.9%,25.0%,.000,2,0,0,1,0,0
シュート,6,3.9%,143.6,0,1,4,1,83.3%,0.0%,-,0,0,0,0,0,0
カーブ,5,3.2%,115.7,0,2,1,2,60.0%,0.0%,-,0,0,0,0,0,0
ナックルカーブ,2,1.3%,122.0,1,0,0,1,50.0%,100.0%,.000,1,0,0,1,0,0
チェンジアップ,2,1.3%,131.5,1,1,0,0,100.0%,100.0%,-,0,0,0,0,0,0
シンカー,2,1.3%,129.0,0,0,1,0,50.0%,0.0%,.000,1,0,0,0,0,0
縦スライダー,1,0.6%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
