NOI236.8,GPA.130,RC-0.19,RC27-0.13,XR0.07,XR270.05,RCAA-4.42,XR+-4.21,RCWIN-0.51,XRWIN-0.49,BABIP.185
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,4.30,0.079,38.00,0.079,0.257,0.00,25.6%,
