打率.259,試合119,打席455,打数401,得点48,安打104,内安13,内安率12.5,２Ｂ15,３Ｂ2,本塁16,HR勝敗9-6-0,塁打171,打点53,三振123
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
38,1,9,0,7,1,0,100.0,4,0,8,.245,.332,.426,.758
