NOI394.1,GPA.218,RC9.19,RC272.79,XR9.36,XR272.84,RCAA-1.83,XR+-1.80,RCWIN-0.21,XRWIN-0.21,BABIP.232
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.042,22.40,5.60,0.189,26.50,0.226,0.539,0.00,25.9%,
