球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,156,36.1%,146.3,9,23,48,38,51.3%,9.5%,.341,41,14,4,3,1,1
スライダー,81,18.8%,129.9,12,10,19,30,50.6%,29.3%,.125,16,2,0,6,1,0
チェンジアップ,49,11.3%,127.4,10,4,8,19,44.9%,38.5%,.273,11,3,0,3,1,0
フォーク,47,10.9%,134.1,13,6,5,14,51.1%,48.1%,.000,15,0,0,6,1,0
カットボール,33,7.6%,138.5,1,4,10,8,45.5%,4.8%,.300,10,3,0,0,0,0
カーブ,24,5.6%,118.3,3,6,2,9,45.8%,33.3%,.000,5,0,0,1,0,0
ツーシーム,15,3.5%,139.1,4,0,3,5,46.7%,40.0%,.000,3,0,0,0,1,0
シンカー,11,2.5%,130.6,1,1,3,4,45.5%,16.7%,.500,2,1,0,0,0,0
シュート,6,1.4%,139.4,0,2,1,2,50.0%,0.0%,.000,1,0,0,0,0,0
スプリット,4,0.9%,136.0,1,0,0,3,25.0%,100.0%,-,0,0,0,0,0,0
縦スライダー,3,0.7%,131.5,0,0,1,1,33.3%,0.0%,.000,1,0,0,0,0,0
ナックルカーブ,3,0.7%,127.3,2,0,0,1,66.7%,100.0%,.000,1,0,0,1,0,0
