打率.217,試合47,打席112,打数106,得点9,安打23,内安2,内安率8.7,２Ｂ6,３Ｂ1,本塁4,HR勝敗2-2-0,塁打43,打点9,三振20
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
5,0,1,0,0,0,1,0.0,0,1,5,.125,.259,.406,.665
