左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
51.8% (44),51.8% (44),51.8% (44),27.1% (23),27.1% (23),27.1% (23),21.2% (18),21.2% (18),21.2% (18)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
52.6% (10),25.0% (1),53.2% (33),36.8% (7),0.0% (0),25.8% (16),10.5% (2),75.0% (3),21.0% (13)
