チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ソフトバンク,0.286,20,76,70,4,20,3,1,1,28,3,16,5,0,0,0,1,1,0,1,0.329,0.4,0.729
日本ハム,0.254,21,75,71,4,18,1,0,0,19,3,13,4,1,0,0,0,0,0,2,0.293,0.268,0.561
ロッテ,0.309,22,86,81,8,25,2,1,1,32,6,15,4,0,0,0,1,4,0,1,0.337,0.395,0.732
オリックス,0.216,21,76,74,9,16,6,1,0,24,6,12,1,0,0,0,1,0,0,3,0.224,0.324,0.548
西武,0.247,23,86,77,4,19,2,0,1,24,6,16,4,0,1,0,4,1,0,1,0.279,0.312,0.591
