0
最終登板
連投状況
10/3
試:0連投中日:0連投中
登録状況
△5/4登録
▼5/24抹消
△6/15登録
▼6/23抹消
△7/10登録
▼7/11抹消
△8/10登録
▼8/15抹消
△9/29登録
▼10/4抹消
