NOI419.5,GPA.224,RC25.74,RC274.09,XR25.65,XR274.07,RCAA2.83,XR+2.62,RCWIN0.33,XRWIN0.31,BABIP.282
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.38,0.063,16.07,6.03,0.106,72.00,0.213,0.624,4.50,24.1%,
