NOI372.7,GPA.198,RC1.66,RC272.81,XR1.72,XR272.90,RCAA-0.43,XR+-0.39,RCWIN-0.05,XRWIN-0.05,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.073,22.00,2.75,0.100,-,0.150,0.500,-,40.9%,
