条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.195,248,221,43,8,4,0,42,15,1,8,3
対左投手,0.242,113,99,24,3,1,0,18,10,1,3,0
