打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,83,21,0.253,0,13,5,2,1,0.292
2打席目,84,16,0.19,0,11,5,2,0,0.236
3打席目,72,10,0.139,0,18,10,4,1,0.241
4打席目,56,14,0.25,0,12,4,3,1,0.295
5打席目以上,17,4,0.235,0,3,2,0,0,0.316
