NOI360.2,GPA.190,RC23.20,RC272.27,XR24.46,XR272.39,RCAA-12.33,XR+-11.50,RCWIN-1.43,XRWIN-1.33,BABIP.255
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.42,0.059,14.44,6.02,0.066,-,0.153,0.450,0.00,23.5%,
