チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
巨人,0.333,3,13,12,1,4,1,0,0,5,1,2,0,0,0,1,0,0,0,0,0.333,0.417,0.75
阪神,0.273,3,12,11,1,3,0,0,0,3,3,0,1,0,0,0,0,0,1,0,0.333,0.273,0.606
ＤｅＮＡ,0.0,2,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
広島,0.273,3,11,11,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.273,0.273,0.545
ヤクルト,0.25,3,13,12,1,3,0,0,0,3,0,4,1,0,0,0,0,0,0,1,0.308,0.25,0.558
中日,0.25,2,9,8,0,2,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0.333,0.375,0.708
