左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
41.9% (108),41.9% (108),41.9% (108),22.9% (59),22.9% (59),22.9% (59),35.3% (91),35.3% (91),35.3% (91)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
44.8% (30),- (0),40.8% (78),26.9% (18),- (0),21.5% (41),28.4% (19),- (0),37.7% (72)
