打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Home,0.22,46,152,132,12,29,3,4,0,40,10,28,13,0,1,5,1,2,3,1,0.293,0.303,0.596
Visitor,0.202,58,209,188,9,38,8,1,0,48,10,32,12,0,1,6,2,6,2,4,0.251,0.255,0.507
