球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,29,56.9%,146.8,3,6,8,10,58.6%,23.1%,.000,3,0,0,1,1,0
スライダー,8,15.7%,128.2,2,1,0,3,37.5%,50.0%,.333,3,1,0,1,0,0
カットボール,7,13.7%,137.9,0,1,1,5,28.6%,0.0%,-,0,0,0,0,0,0
フォーク,5,9.8%,137.3,1,0,0,1,20.0%,25.0%,.000,3,0,0,0,0,0
スプリット,1,2.0%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
チェンジアップ,1,2.0%,120.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
