NOI197.0,GPA.098,RC-0.89,RC27-2.00,XR-0.77,XR27-1.74,RCAA-2.07,XR+-1.97,RCWIN-0.24,XRWIN-0.23,BABIP.125
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.076,12.00,4.00,0.000,-,0.000,0.083,-,33.3%,
