NOI284.6,GPA.150,RC0.58,RC271.05,XR0.63,XR271.13,RCAA-1.22,XR+-1.19,RCWIN-0.14,XRWIN-0.14,BABIP.375
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.10,0.044,19.00,1.90,0.056,-,0.111,0.333,-,57.9%,
