球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,571,41.9%,147.5,54,68,130,233,44.1%,20.0%,.284,109,31,5,26,17,0
スライダー,193,14.1%,129.4,23,34,28,69,44.0%,25.6%,.111,45,5,0,8,5,0
フォーク,142,10.4%,136.4,25,17,25,57,47.2%,36.8%,.345,29,10,1,11,7,1
カットボール,120,8.8%,137.4,15,14,25,43,45.0%,23.8%,.333,27,9,1,4,2,0
チェンジアップ,80,5.9%,129.2,10,7,15,29,40.0%,22.7%,.385,26,10,0,7,1,0
スプリット,66,4.8%,140.4,10,11,11,22,48.5%,30.3%,.125,16,2,0,4,2,0
ツーシーム,54,4.0%,141.0,2,7,12,23,38.9%,8.3%,.500,10,5,1,0,3,0
カーブ,53,3.9%,116.6,6,9,8,25,43.4%,31.6%,.000,7,0,0,2,1,0
シンカー,29,2.1%,133.7,5,3,6,10,48.3%,31.3%,.167,6,1,0,1,0,0
シュート,16,1.2%,143.4,3,3,1,8,43.8%,60.0%,.500,2,1,0,1,1,1
縦スライダー,15,1.1%,133.3,1,2,5,6,53.3%,14.3%,.000,2,0,0,1,0,0
ナックルカーブ,15,1.1%,123.5,1,3,1,8,33.3%,25.0%,.333,3,1,0,1,0,0
パワーカーブ,3,0.2%,123.0,0,1,0,1,33.3%,0.0%,.000,1,0,0,0,0,0
パーム,3,0.2%,128.7,0,0,1,1,33.3%,0.0%,1.000,1,1,0,0,0,0
ワンシーム,2,0.1%,146.0,1,1,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
スローカーブ,1,0.1%,80.0,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
ナックル,1,0.1%,98.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
