HQS率54.2%,SQS率54.2%,被打率.201,被BABIP.248,被出塁率.260,被長打率.275,K/BB3.17,K/97.55,BB/92.38,HR/90.46,GO/AO1.55,援護率3.16,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.58,86.2%,25.27,2.98,21.19,555,0.0,165,58,0.0,0,0,0,
