HQS率-,SQS率-,被打率.198,被BABIP.259,被出塁率.321,被長打率.270,K/BB1.81,K/97.91,BB/94.36,HR/90.27,GO/AO0.47,援護率-,IPR5.50,NHB%33.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.04,88.7%,5.98,0.70,4.90,329,2.2,0,0,33.0,6,14,38,
