防御率2.36,試合46,先発0,救援46,連投(試)0,連投(日)0,勝利2,敗戦4,HLD19,Ｓ5,ＨＰ21,ＳＰ7,救勝2,救敗4,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.333,42.0,172,721,17.2,33,2,52,15,0,0,1,0,12,11,1.14,-
