HQS率-,SQS率-,被打率.213,被BABIP.304,被出塁率.281,被長打率.303,K/BB3.47,K/911.14,BB/93.21,HR/90.43,GO/AO0.71,援護率-,IPR3.50,NHB%45.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.95,79.6%,3.61,0.42,3.18,386,7.0,0,0,42.0,12,21,37,
