球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,25,32.9%,145.4,3,2,4,10,36.0%,23.1%,.143,7,1,0,1,1,1
スライダー,13,17.1%,129.5,0,4,3,1,53.8%,0.0%,.000,5,0,0,0,0,0
ツーシーム,12,15.8%,139.9,1,0,2,5,25.0%,14.3%,.500,2,1,0,0,0,0
チェンジアップ,10,13.2%,132.6,5,2,1,2,80.0%,83.3%,.000,1,0,0,1,0,0
フォーク,5,6.6%,135.2,1,0,2,2,60.0%,33.3%,-,0,0,0,0,0,0
カットボール,3,3.9%,135.5,1,1,0,0,66.7%,50.0%,.000,1,0,0,0,0,0
縦スライダー,2,2.6%,132.5,0,1,0,0,50.0%,0.0%,1.000,1,1,0,0,0,0
カーブ,2,2.6%,119.0,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
シュート,2,2.6%,137.0,0,0,0,1,0.0%,0.0%,1.000,1,1,0,0,0,0
シンカー,1,1.3%,136.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
スクリュー,1,1.3%,129.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
