HQS率32.0%,SQS率36.0%,被打率.241,被BABIP.284,被出塁率.318,被長打率.332,K/BB1.98,K/96.51,BB/93.29,HR/90.54,GO/AO1.17,援護率3.35,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.29,82.0%,8.69,1.02,10.76,552,0.0,164,61,0.0,0,0,0,
