種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,4.5,7,0,7,0,2,2,0,2,0,0,2,8.0,10,1,7,1,0,4,4,1.38,0.345,-,2.0
Nighter,5.21,18,0,18,4,2,3,0,7,4,4,2,19.0,17,1,27,10,1,12,11,1.42,0.236,-,1.58
