HQS率-,SQS率-,被打率.267,被BABIP.385,被出塁率.345,被長打率.426,K/BB3.09,K/911.33,BB/93.67,HR/90.67,GO/AO0.63,援護率-,IPR1.69,NHB%36.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.44,63.5%,-6.20,-0.73,-6.08,171,12.2,0,0,27.0,16,9,15,
