球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,232,48.3%,153.7,22,39,57,73,50.9%,18.3%,0.32,50,16,0,12,4,0
スライダー,136,28.3%,135.3,27,16,26,46,50.7%,36.5%,0.206,34,7,2,13,3,0
フォーク,88,18.3%,144.6,18,5,14,43,42.0%,45.0%,0.286,14,4,0,7,2,0
ツーシーム,14,2.9%,152.0,1,1,5,6,50.0%,14.3%,0.0,1,0,0,0,1,1
カットボール,10,2.1%,137.8,6,1,1,2,80.0%,85.7%,0.0,2,0,0,2,0,0
