左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
42.1% (40),42.1% (40),42.1% (40),22.1% (21),22.1% (21),22.1% (21),35.8% (34),35.8% (34),35.8% (34)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
30.8% (8),100.0% (1),45.6% (31),38.5% (10),0.0% (0),16.2% (11),30.8% (8),0.0% (0),38.2% (26)
