種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,3.24,18,0,18,1,1,12,0,13,1,1,1,16.2,17,1,11,7,0,6,6,1.44,0.266,-,2.78
Nighter,3.13,32,0,32,1,3,21,0,22,1,1,3,31.2,33,0,16,9,1,12,11,1.33,0.289,-,2.64
