NOI491.2,GPA.270,RC11.75,RC275.99,XR11.31,XR275.76,RCAA3.97,XR+3.44,RCWIN0.46,XRWIN0.40,BABIP.327
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.30,0.065,13.17,3.95,0.222,24.00,0.306,0.792,0.00,36.7%,
