打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
1番,.333,1,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.333,.667,1.0
2番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
3番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
4番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
5番,.250,1,4,4,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.250,.250,0.5
6番,.500,2,8,8,2,4,0,0,1,7,1,2,0,0,0,0,0,0,0,0,.500,.875,1.375
7番,.273,7,24,22,5,6,3,0,1,12,1,6,1,0,1,0,0,0,0,1,.333,.545,0.879
8番,.333,2,6,6,0,2,1,0,0,3,1,1,0,0,0,0,0,0,0,0,.333,.500,0.833
9番,.000,4,11,8,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,.273,.000,0.273
