球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,158,54.3%,147.4,23,28,33,53,53.2%,29.9%,.206,34,7,0,13,6,1
フォーク,34,11.7%,135.8,9,0,6,10,44.1%,37.5%,.308,13,4,0,4,0,0
スライダー,32,11.0%,128.4,2,5,3,16,31.3%,18.2%,.429,7,3,2,1,0,0
カットボール,20,6.9%,137.2,1,1,8,6,50.0%,7.7%,.250,4,1,0,0,0,0
カーブ,12,4.1%,118.8,1,2,2,3,41.7%,14.3%,.250,4,1,0,0,0,0
スプリット,10,3.4%,137.8,1,0,2,4,30.0%,16.7%,.250,4,1,0,1,0,0
チェンジアップ,10,3.4%,128.4,4,1,1,2,60.0%,57.1%,.500,2,1,1,0,0,0
ツーシーム,7,2.4%,141.6,1,3,1,2,71.4%,50.0%,.000,1,0,0,1,0,0
ナックルカーブ,2,0.7%,118.5,0,2,0,0,100.0%,-%,-,0,0,0,0,0,0
シンカー,2,0.7%,136.5,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
シュート,2,0.7%,144.0,0,0,1,0,50.0%,0.0%,1.000,1,1,0,0,0,0
パワーカーブ,1,0.3%,122.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
パーム,1,0.3%,126.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
