条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,.235,56,51,12,7,0,3,3,12,4,1,0,0,.304
1塁,.308,14,13,4,0,0,0,0,5,1,0,0,0,.357
2塁,.000,2,1,0,0,0,0,0,1,1,0,0,0,.500
3塁,.000,2,2,0,0,0,0,0,1,0,0,0,0,.000
1・2塁,1.000,2,2,2,0,0,0,0,0,0,0,0,0,1.000
1・3塁,-,0,0,0,0,0,0,0,0,0,0,0,0,-
2・3塁,1.000,1,1,1,0,0,0,1,0,0,0,0,0,1.000
満塁,.000,2,2,0,0,0,0,0,1,0,0,0,0,.000
得点圏,.375,9,8,3,0,0,0,1,3,1,0,0,0,.444
