HQS率53.8%,SQS率61.5%,被打率.207,被BABIP.253,被出塁率.244,被長打率.304,K/BB5.76,K/97.39,BB/91.28,HR/90.46,GO/AO0.59,援護率3.38,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.27,81.1%,22.65,2.67,16.91,666,0.0,184,69,0.0,0,0,0,
