条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,3,1,1,2,2,1,4,0,0,0,0,0,14
敗戦,0,14,0,3,0,0,0,0,0,0,0,0,17
勝敗無,3,2,0,1,1,0,3,0,0,0,0,0,10
