防御率2.10,試合26,先発26,救援0,連投(試)1,連投(日)1,勝利14,敗戦4,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投3,完封3,無四球2
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.778,175.1,679,2677,15.3,131,9,144,25,4,7,3,1,41,41,0.89,84.6%
