条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.265,240,215,57,5,0,5,60,18,4,3,0
対左打者,0.266,148,139,37,6,1,1,32,5,1,3,0
