アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,90,34.4%,安打,94,74.6%
フライ,74,28.2%,四死球,28,22.2%
空三振,75,28.6%,失策出塁,4,3.2%
見三振,17,6.5%,野選,0,0.0%
犠打,6,2.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
