条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,0,2,4,1,0,0,0,0,0,0,0,7
敗戦,3,1,4,3,2,4,0,0,0,0,0,0,17
勝敗無,1,1,3,1,0,2,0,0,0,0,0,0,8
