アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,8,42.1%,安打,4,44.4%
フライ,6,31.6%,四死球,4,44.4%
空三振,4,21.1%,失策出塁,1,11.1%
見三振,1,5.3%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
