条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.193,165,150,29,5,1,2,25,9,3,2,1
対左打者,0.32,190,169,54,7,2,5,17,14,0,4,3
