NOI78.4,GPA.041,RC-0.22,RC27-0.31,XR0.02,XR270.02,RCAA-2.09,XR+-1.88,RCWIN-0.24,XRWIN-0.22,BABIP.111
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,2.38,-0.000,-,0.353,0.412,0.00,42.1%,
