HQS率39.1%,SQS率47.8%,被打率.214,被BABIP.250,被出塁率.269,被長打率.324,K/BB3.19,K/97.15,BB/92.24,HR/90.75,GO/AO1.01,援護率5.07,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.05,74.3%,1.76,0.20,4.86,554,0.0,151,85,0.0,0,0,0,
