条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,3,2,1,5,3,3,0,0,0,0,0,0,17
敗戦,8,0,8,4,5,3,1,0,0,0,0,0,29
勝敗無,0,0,0,3,1,0,2,0,0,0,0,0,6
