NOI372.7,GPA.199,RC19.26,RC272.63,XR18.95,XR272.58,RCAA-5.55,XR+-5.99,RCWIN-0.65,XRWIN-0.70,BABIP.263
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.38,0.025,32.63,12.43,0.073,-,0.109,0.456,0.00,11.1%,
